temperature,unit,calibration_adjustment,interval_seconds,datetime
19.79521,centigrade,5,60,2023-10-27 12:35:55
19.81211,centigrade,5,60,2023-10-27 12:36:55
19.84215,centigrade,5,60,2023-10-27 12:37:56
19.86965,centigrade,5,60,2023-10-27 12:38:56
19.87265,centigrade,5,60,2023-10-27 12:39:57
19.87265,centigrade,5,60,2023-10-27 12:40:58
20.3408,centigrade,5,60,2023-10-27 12:41:58
19.87265,centigrade,5,60,2023-10-27 12:42:59
19.87265,centigrade,5,60,2023-10-27 12:43:59
19.87265,centigrade,5,60,2023-10-27 12:45:00
