temperature,unit,interval_seconds,datetime
17.21338,centigrade,15,2023-07-10 10:24:09
17.68152,centigrade,15,2023-07-10 10:24:24
17.68152,centigrade,15,2023-07-10 10:24:40
17.68152,centigrade,15,2023-07-10 10:24:56
17.68152,centigrade,15,2023-07-10 10:25:11
17.68152,centigrade,15,2023-07-10 10:25:27
17.68152,centigrade,15,2023-07-10 10:25:42
17.21338,centigrade,15,2023-07-10 10:25:58
17.21338,centigrade,15,2023-07-10 10:26:13
17.68152,centigrade,15,2023-07-10 10:26:29
17.21338,centigrade,15,2023-07-10 10:26:44
17.68152,centigrade,15,2023-07-10 10:27:00
17.21338,centigrade,15,2023-07-10 10:27:16
17.68152,centigrade,15,2023-07-10 10:27:31
17.21338,centigrade,15,2023-07-10 10:27:47
