temperature,unit,calibration_adjustment,interval_seconds,datetime
19.3408,centigrade,4,15,2023-10-26 14:22:47
19.3408,centigrade,4,15,2023-10-26 14:23:03
19.3408,centigrade,4,15,2023-10-26 14:23:18
19.3408,centigrade,4,15,2023-10-26 14:23:34
19.3408,centigrade,4,15,2023-10-26 14:23:49
66.81343,fahrenheit,39.2,15,2023-10-26 14:24:05
66.81343,fahrenheit,39.2,15,2023-10-26 14:24:21
66.81343,fahrenheit,39.2,15,2023-10-26 14:24:36
66.81343,fahrenheit,39.2,15,2023-10-26 14:24:52
66.81343,fahrenheit,39.2,15,2023-10-26 14:25:07
